,type,reason,entry_time,exit_time,entry_price,exit_price,qty,gross_pnl,commission,net_pnl,equity
15,Long,Take Profit,2017-07-04 12:00:00+00:00,2017-07-05 09:26:00+00:00,8.070449785999459e+17,9.394509176266294e+17,1.2849301246676175e-15,170.13237974028942,0.44882503793397915,169.68355470235545,10539.647604350384
16,Long,Stop Loss,2017-07-20 09:15:00+00:00,2017-07-20 12:21:00+00:00,1.522216964853229e+18,1.475379968522322e+18,6.923880003772399e-16,-32.42937423323291,0.41510002932736884,-32.84447426256028,10506.803130087825
17,Long,Stop Loss,2017-07-31 14:15:00+00:00,2017-08-01 11:16:00+00:00,2.1707353113455757e+18,2.1202952154096077e+18,4.840204641797145e-16,-24.41403864819656,0.41538931747387375,-24.829427965670433,10481.973702122154
18,Long,Stop Loss,2017-08-17 12:00:00+00:00,2017-08-17 15:10:00+00:00,1.875298735916633e+18,1.785226743348252e+18,5.589495423511091e-16,-50.345699024749166,0.40920980827993636,-50.754908833029106,10431.218793289125
19,Long,Stop Loss,2017-08-21 10:30:00+00:00,2017-08-21 13:12:00+00:00,1.8680936362181396e+18,1.79423394260509e+18,5.583884335908662e-16,-41.242398622092075,0.4090002720071466,-41.65139889409922,10389.567394395026
20,Long,Stop Loss,2017-08-22 12:00:00+00:00,2017-08-22 14:01:00+00:00,1.8590864369613007e+18,1.7924329425583734e+18,5.588533802321155e-16,-37.24953065135835,0.40813278964552935,-37.657663441003876,10351.909730954023
21,Long,Stop Loss,2017-08-24 09:45:00+00:00,2017-08-24 09:50:00+00:00,1.979783126905258e+18,1.902320333687148e+18,5.228809959167518e-16,-40.503822464378736,0.4059756247452852,-40.909798089124024,10310.9999328649
22,Long,Take Profit,2017-08-31 09:45:00+00:00,2017-09-04 09:20:00+00:00,1.9419522303195607e+18,2.2499991046104023e+18,5.309605340378614e-16,163.56073288215921,0.44515214389102786,163.1155807382682,10474.115513603167
23,Long,Stop Loss,2017-09-20 09:45:00+00:00,2017-09-20 10:18:00+00:00,3.930741457506901e+18,3.6929522767356754e+18,2.6646666098071087e-16,-63.362889017447145,0.40629204274063724,-63.76918106018778,10410.346332542978
24,Long,Take Profit,2017-10-04 10:30:00+00:00,2017-10-04 15:28:00+00:00,2.2590063038672404e+18,2.662529561362694e+18,4.608374184136312e-16,185.95861625406383,0.4536055765525319,185.5050106775113,10595.851343220489
25,Long,Take Profit,2017-11-16 10:30:00+00:00,2017-11-21 09:15:00+00:00,5.94475267345099e+18,8.149713292306363e+18,1.782387245568871e-16,393.0093684029463,0.502435927409409,392.50693247553687,10988.358275696026
26,Long,Stop Loss,2017-12-06 11:15:00+00:00,2017-12-06 14:25:00+00:00,7.530019742654503e+18,7.140906975540491e+18,1.4592735014294105e-16,-56.782195011735055,0.428177892025494,-57.21037290376055,10931.147902792265
27,Long,Stop Loss,2017-12-15 09:45:00+00:00,2017-12-15 13:18:00+00:00,7.976777705402977e+18,7.530019742654503e+18,1.3703713838469111e-16,-61.222432765625356,0.4250014295585656,-61.64743419518392,10869.500468597082
28,Long,Take Profit,2017-12-26 13:30:00+00:00,2017-12-26 15:18:00+00:00,7.313846960490387e+18,8.034422901037439e+18,1.4861536654122566e-16,107.0886575251885,0.45619775024892095,106.63245977493958,10976.13292837202
